sigla,idpozo,area,cod_area,empresa,yacimiento,cod_yacimiento,formacion,cuenca,provincia,tipopozo,tipoextraccion,tipoestado,geojson
CH.CH.EaLE.x-1,212,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.287852999999998,-45.591132999999999]}"
CH.CH.EaLE.x-2,213,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Inyección de Agua,Sin Sistema de Extracción,En Inyección Efectiva,"{""type"":""Point"",""coordinates"":[-68.292018999999996,-45.592025]}"
CH.CH.EaLE-3,214,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.283878000000001,-45.590243999999998]}"
CH.CH.EaLE-4,215,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.289483000000004,-45.594068999999998]}"
CH.CH.EaLE-5,216,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.294475000000006,-45.594450000000002]}"
CH.CH.EaLE-6,217,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.297317000000007,-45.592686]}"
Ch.CH.EaLE-7,218,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.295372,-45.590271999999999]}"
CH.CH.EaLE-8,219,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.299843999999993,-45.594703000000003]}"
CH.CH.EaLE-9,220,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Inyección de Agua,Sin Sistema de Extracción,En Inyección Efectiva,"{""type"":""Point"",""coordinates"":[-68.303228000000004,-45.591588999999999]}"
CH.CH.EaLE-10,221,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Inyección de Agua,Sin Sistema de Extracción,En Inyección Efectiva,"{""type"":""Point"",""coordinates"":[-68.291518999999994,-45.596241999999997]}"
CH.CH.EaLE-11,222,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Sin Sistema de Extracción,Abandonado,"{""type"":""Point"",""coordinates"":[-68.297680999999997,-45.598533000000003]}"
CH.CH.EaLE.a-12,223,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.308306000000002,-45.593330999999999]}"
CH.CH.EaLE-13,224,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Sin Sistema de Extracción,Otras Situación Activo,"{""type"":""Point"",""coordinates"":[-68.303256000000005,-45.589024999999999]}"
CH.CH.EaLE-14,225,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.303611000000004,-45.595806000000003]}"
CH.CH.EaLE-15,226,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.288700000000006,-45.588768999999999]}"
CH.CH.EaLE-16,227,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Inyección de Agua,Sin Sistema de Extracción,En Inyección Efectiva,"{""type"":""Point"",""coordinates"":[-68.284833000000006,-45.586967000000001]}"
CH.CH.EaLE-17,228,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.280292000000003,-45.587280999999997]}"
CH.CH.EaLE-18,229,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Inyección de Agua,Sin Sistema de Extracción,En Inyección Efectiva,"{""type"":""Point"",""coordinates"":[-68.293413999999999,-45.584439000000003]}"
CH.CH.EaLE-19,230,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.300141999999994,-45.583978000000002]}"
CH.CH.EaLE-20,231,ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,ELA,comodoro rivadavia,GOLFO SAN JORGE,Chubut,Petrolífero,Bombeo Mecánico,Extracción Efectiva,"{""type"":""Point"",""coordinates"":[-68.289205999999993,-45.585664000000001]}"
